,uid,roll no,img
0,424cf5ce-e2f4-41ef-a7a1-82be121b676f,EK-704-731-9640,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/052628.jpg
1,bf7258f1-e543-4d00-b14b-a1dbc78a3cea,VI-890-372-8853,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/110369.jpg
2,78187d76-89ae-47ba-8ee1-aa0829f96392,WA-440-001-0590,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/161590.jpg
3,f0b59ad4-21c2-47af-83fa-cc31592fd404,LN-675-943-2548,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/065084.jpg
4,a818db72-eb55-42b9-b464-1f1416e70edd,YZ-523-121-8645,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/108526.jpg
5,6d72482b-3f73-45a8-90d5-16c4d6b6871f,MU-801-563-7483,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/045354.jpg
6,a63adc12-e3a4-425d-a58e-02a1f592359f,XJ-415-544-2269,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/139923.jpg
7,dd1ea58f-bccb-4486-93a8-e9713329c4dc,ES-921-489-6369,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/091663.jpg
8,3c359de7-3f1b-4a7e-bf88-80b9a4b57321,SE-154-112-7128,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/107615.jpg
9,144d0598-9b6e-4d0d-ae79-e7d453fcfd44,SD-300-568-2599,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/003301.jpg
10,f70fe83b-54ee-4958-ba17-c12a48e1a4eb,KF-368-057-2519,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/195377.jpg
11,cfe56e63-6ac9-4e81-9792-7bcc7900e0d1,JX-984-920-5037,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/150995.jpg
12,790b2689-7880-4279-9d6e-d69718728073,EW-424-268-8565,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/141640.jpg
13,c7b5c335-e22e-4565-9777-e4b7316153e8,CN-311-873-3191,/Users/debasishdutta/My Programming Stuffs/Java/Project/img_align_celeba/118735.jpg
